ICES_FileID,ICES_HaulID,ICES_MeasurementID,RecordType,HaulID,Species,ELSampleFlag,IndividualNumber,Length,DevScale,DevStage,Number,SubFactor,SpecIdentMethod,OilGlobulesFlag,OilGlobulesNumber,OilGlobulesDiam,PreservationMethod,Notes
13998,1557928,8711047,EM,1992DK_008,Clupea harengus,LV,,28,,,4,1,,,,,,
13998,1557928,8711048,EM,1992DK_008,Clupea harengus,LV,,29,,,2,1,,,,,,
13998,1557928,8711049,EM,1992DK_008,Clupea harengus,LV,,30,,,4,1,,,,,,
13998,1557928,8711050,EM,1992DK_008,Clupea harengus,LV,,31,,,5,1,,,,,,
13998,1557929,8711051,EM,1992DK_009,Clupea harengus,LV,,25,,,3,1,,,,,,
13998,1557929,8711052,EM,1992DK_009,Clupea harengus,LV,,26,,,3,1,,,,,,
13998,1557929,8711053,EM,1992DK_009,Clupea harengus,LV,,27,,,1,1,,,,,,
13998,1557929,8711054,EM,1992DK_009,Clupea harengus,LV,,28,,,3,1,,,,,,
13998,1557929,8711055,EM,1992DK_009,Clupea harengus,LV,,29,,,2,1,,,,,,
13998,1557929,8711056,EM,1992DK_009,Clupea harengus,LV,,30,,,2,1,,,,,,
13998,1557930,8711057,EM,1992DK_010,Clupea harengus,LV,,22,,,1,1,,,,,,
13998,1557930,8711058,EM,1992DK_010,Clupea harengus,LV,,23,,,1,1,,,,,,
13998,1557930,8711059,EM,1992DK_010,Clupea harengus,LV,,24,,,1,1,,,,,,
13998,1557930,8711060,EM,1992DK_010,Clupea harengus,LV,,25,,,2,1,,,,,,
13998,1557930,8711061,EM,1992DK_010,Clupea harengus,LV,,27,,,1,1,,,,,,
13998,1557930,8711062,EM,1992DK_010,Clupea harengus,LV,,28,,,1,1,,,,,,
13998,1557930,8711063,EM,1992DK_010,Clupea harengus,LV,,29,,,2,1,,,,,,
13998,1557930,8711064,EM,1992DK_010,Clupea harengus,LV,,30,,,1,1,,,,,,
13998,1557931,8711065,EM,1992DK_011,Clupea harengus,LV,,26,,,2,1,,,,,,
13998,1557931,8711066,EM,1992DK_011,Clupea harengus,LV,,27,,,2,1,,,,,,
13998,1557931,8711067,EM,1992DK_011,Clupea harengus,LV,,28,,,2,1,,,,,,
13998,1557931,8711068,EM,1992DK_011,Clupea harengus,LV,,30,,,1,1,,,,,,
13998,1557932,8711069,EM,1992DK_012,Clupea harengus,LV,,24,,,2,1,,,,,,
13998,1557932,8711070,EM,1992DK_012,Clupea harengus,LV,,25,,,2,1,,,,,,
13998,1557932,8711071,EM,1992DK_012,Clupea harengus,LV,,26,,,4,1,,,,,,
13998,1557932,8711072,EM,1992DK_012,Clupea harengus,LV,,28,,,2,1,,,,,,
13998,1557932,8711073,EM,1992DK_012,Clupea harengus,LV,,29,,,2,1,,,,,,
13998,1557933,8711074,EM,1992DK_013,Clupea harengus,LV,,24,,,1,1,,,,,,
13998,1557933,8711075,EM,1992DK_013,Clupea harengus,LV,,25,,,1,1,,,,,,
13998,1557933,8711076,EM,1992DK_013,Clupea harengus,LV,,26,,,2,1,,,,,,
13998,1557933,8711077,EM,1992DK_013,Clupea harengus,LV,,27,,,4,1,,,,,,
13998,1557933,8711078,EM,1992DK_013,Clupea harengus,LV,,28,,,2,1,,,,,,
