RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,DepthStratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,Depth,HaulVal,HydroStNo,StdSpecRecCode,BySpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth,SurveyIndexArea
HH,I5034 ,2,NL,64T2 ,MRN2,5185.94049,,,721918,2018NL019,2018,4,17,11,,11,d,55.25417,7.72167,,,24,,,,,R,2,,,2778,,,,,,,,,,,,,,,,,,,,,,4.9,4.77,32.9,32.62,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,6192.459812,,,721919,2018NL020,2018,4,17,13,,13,d,55.75683,7.26833,,,28,,,,,R,2,,,1514,,,,,,,,,,,,,,,,,,,,,,5.63,5.62,32.5,32.47,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,5578.372732,,,721920,2018NL021,2018,4,17,16,,11,d,55.87617,7.52183,,,21,,,,,R,2,,,1318,,,,,,,,,,,,,,,,,,,,,,4.46,4.4,33.48,33.24,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,4080.512588,,,721921,2018NL022,2018,4,17,17,,12,d,56.24267,7.70667,,,29,,,,,R,2,,,1321,,,,,,,,,,,,,,,,,,,,,,4.45,4.44,33.32,33.37,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3794.816223,,,721922,2018NL023,2018,4,17,18,,11,d,56.25133,7.25333,,,32,,,,,R,2,,,1100,,,,,,,,,,,,,,,,,,,,,,4.86,4.86,34.87,33.43,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,4625.577134,,,721923,2018NL024,2018,4,17,20,,11,d,56.25083,6.74317,,,39,,,,,R,2,,,3518,,,,,,,,,,,,,,,,,,,,,,4.46,4.42,33.61,33.29,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,4126.409015,,,721924,2018NL025,2018,4,17,21,,13,n,56.25117,6.222,,,43,,,,,R,2,,,1191,,,,,,,,,,,,,,,,,,,,,,4.95,4.93,35,34.89,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,4496.070936,,,721925,2018NL026,2018,4,18,2,,16,n,56.25083,5.74017,,,53,,,,,R,2,,,1256,,,,,,,,,,,,,,,,,,,,,,4.98,4.99,35.41,35.25,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3435.472103,,,721926,2018NL027,2018,4,18,2,,11,n,56.24233,5.2835,,,56,,,,,R,2,,,2960,,,,,,,,,,,,,,,,,,,,,,5.13,5.19,37.92,35.32,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,4370.122601,,,721928,2018NL029,2018,4,18,7,,13,d,55.7525,5.73333,,,51,,,,,R,2,,,1519,,,,,,,,,,,,,,,,,,,,,,4.98,4.99,34.74,34.74,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3394.912469,,,721929,2018NL030,2018,4,18,8,,11,d,55.7515,6.23933,,,46,,,,,R,2,,,1210,,,,,,,,,,,,,,,,,,,,,,5.33,5.35,37.11,35.04,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3547.188988,,,721930,2018NL031,2018,4,18,9,,11,d,55.736,6.7535,,,37,,,,,R,2,,,1262,,,,,,,,,,,,,,,,,,,,,,5.06,5.07,34.56,34.47,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3394.556683,,,721957,2018NL032,2018,4,18,10,,11,d,55.3415,7.042,,,31,,,,,R,2,,,1028,,,,,,,,,,,,,,,,,,,,,,5.52,5.45,31.67,35.35,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,2363.488109,,,721932,2018NL033,2018,4,18,12,,10,d,55.25917,6.57217,,,42,,,,,R,2,,,2405,,,,,,,,,,,,,,,,,,,,,,5.5,5.23,34.63,34.86,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,4175.151732,,,721933,2018NL034,2018,4,18,14,,14,d,55.25183,6.2225,,,49,,,,,R,2,,,2919,,,,,,,,,,,,,,,,,,,,,,6.2,6.39,32.71,34.95,,,500,,,,,,,,
HH,I5034 ,2,NL,64T2 ,MRN2,3946.736955,,,721934,2018NL035,2018,4,18,15,,14,d,55.2415,5.71733,,,47,,,,,R,2,,,1392,,,,,,,,,,,,,,,,,,,,,,6.02,5.81,36.8,35,,,500,,,,,,,,
