"","Yearclass","total_abundance","index"
"1",1991,14593.0000003772,0.856182576233606
"2",1992,14628.9999942159,0.858294723665142
"3",1993,6233.9999858573,0.365753591995724
"4",1994,15525.0000029475,0.910863735914943
"5",1995,5977.00001305189,0.350675205179935
"6",1996,7336.99998933329,0.430467453747067
"7",1997,3921.9999973381,0.230106767739487
"8",1998,24857.2430008582,1.45839363735965
"9",1999,8633.00001987507,0.506504776087875
"10",2000,44016.3643675113,2.58247407932836
"11",2001,11218.0000411685,0.658168723030772
"12",2002,8488.43696064735,0.498023149796187
"13",2003,4586.5204502166,0.269094695738578
"14",2004,9263.00004276784,0.543467363808947
"15",2005,6167.00006577143,0.361822654958441
"16",2006,8711.18545601834,0.511091975987783
"17",2007,23981.1794796064,1.40699431422183
"18",2008,18997.1811045112,1.11457928176635
"19",2009,11148.0000052259,0.654061766880001
"20",2010,18848.4350531947,1.10585223609942
"21",2011,11719.999951429,0.687621445323981
"22",2012,38936.9735801695,2.28446230040072
"23",2013,22884.0002464861,1.34262196156106
"24",2014,2690.86153996258,0.157874923971324
"25",2015,27076.6268459912,1.58860660098112
"26",2016,19868.3081822218,1.16568897995054
"27",2017,17044.2618262247,1
"28",2018,9085.63340869474,0.533061126455787
"29",2019,18099.1483637236,1.0618910075575
"30",2020,31419.7535866464,1.84342119987286
"31",2021,17859.2682425272,1.04781705565262
"32",2022,19991.7186312172,1.17292956626948
