"","Yearclass","total_abundance","index"
"1",1991,12076.8107689472,1.29120300601032
"2",1992,11831.8417198811,1.26501192141148
"3",1993,10186.3712693338,1.08908497905094
"4",1994,10731.7146516461,1.14739085367472
"5",1995,10062.8813310544,1.07588194204315
"6",1996,7985.74998870751,0.853803590032146
"7",1997,11464.2932997372,1.22571515391022
"8",1998,14239.388901922,1.52241697793154
"9",1999,12487.5357385738,1.33511603284924
"10",2000,15022.2037059897,1.60611232163607
"11",2001,7367.85530478779,0.787740828220363
"12",2002,11520.6460737653,1.23174016105938
"13",2003,12350.2989509908,1.32044323917444
"14",2004,12260.0574144399,1.31079498472293
"15",2005,13420.423527123,1.43485656368063
"16",2006,13454.1104499182,1.43845823110828
"17",2007,23375.6934726165,2.49923313835689
"18",2008,23577.0596981637,2.5207623881489
"19",2009,17136.8808212762,1.83220491348324
"20",2010,24612.955628092,2.63151612638553
"21",2011,33470.518963007,3.57853041871646
"22",2012,26123.3458114169,2.79300084137105
"23",2013,23395.0155959213,2.50129898042157
"24",2014,8272.52543145113,0.884464442537396
"25",2015,21680.5247375771,2.3179926595373
"26",2016,17946.960073551,1.9188152600106
"27",2017,9353.14641673835,1
"28",2018,11181.7506746476,1.19550685688367
"29",2019,10770.8815859805,1.15157842142885
"30",2020,13532.1070319784,1.44679730531764
"31",2021,13022.7988662322,1.39234416804667
"32",2022,11071.1211256724,1.1836787998806
