"model.name","AIC","formula","names"
"mod6",-1232.82564755763,"Year + s(lon, lat, bs = ""ds"", m = c(1, 0.5), k = 40) + DayNight + s(lon, lat, bs = ""ds"", m = c(1, 0.5), by = Year, k = 5, id = 1) + Ship + s(sqrt(Depth), bs = ""cr"")","IBTS0.mod6"
"mod2",-1232.44218148449,"Year + s(lon, lat, bs = ""ds"", m = c(1, 0.5), k = 40) + DayNight + s(lon, lat, bs = ""ds"", m = c(1, 0.5), by = Year, k = 5, id = 1) + s(Ship, bs = ""re"") + s(sqrt(Depth), bs = ""cr"")","IBTS0.mod2"
"mod1",-1231.94534048703,"Year + s(lon, lat, bs = ""ds"", m = c(1, 0.5), k = 40) + DayNight + s(lon, lat, bs = ""ds"", m = c(1, 0.5), by = Year, k = 5, id = 1) + s(Ship, bs = ""re"") + s(Depth, bs = ""cr"")","IBTS0.mod1"
"mod4",-1230.77584802066,"Year + s(lon, lat, bs = ""ds"", m = c(1, 0.5), k = 40) + DayNight + s(lon, lat, bs = ""ds"", m = c(1, 0.5), by = Year, k = 5, id = 1) + offset(log(SweepLngt))","IBTS0.mod4"
"mod3",-1221.66561684067,"Year + s(lon, lat, bs = ""ds"", m = c(1, 0.5), k = 40) + DayNight + s(Ship, bs = ""re"") + offset(log(SweepLngt))","IBTS0.mod3"
"mod5",-1202.46193673409,"Year + s(lon, lat, bs = ""ds"", m = c(1, 0.5), k = 40) + s(lon, lat, bs = ""ds"", m = c(1, 0.5), by = Year, k = 5, id = 1) + s(Depth, bs = ""cr"") + offset(log(SweepLngt))","IBTS0.mod5"
